"353","restaurants:sandwiches","Delis"
"354","restaurants","Diners"
"355","restaurants","Fast Food"
"356","restaurants","French"
"357","restaurants","Indian"
"358","restaurants","Italian"
"359","restaurants","Japanese"
"36","education","Vocational Schools"
"360","restaurants","Korean"
"361","restaurants:mexican","Mexican"
"362","restaurants","Middle Eastern"
"363","restaurants","Pizza"
"364","restaurants","Seafood"
"365","restaurants","Steakhouses"
"366","restaurants","Sushi"
"367","restaurants","Thai"
"368","restaurants:vegan","Vegan and Vegetarian"
"37","publicservicesgovt","Government Departments and Agencies"
"370","food:wineries","Wineries and Vineyards"
"371","active:zoos","Zoos, Aquariums and Wildlife Sanctuaries"
"372","active","Sports and Recreation"
"374","shopping","Baseball"
"377","active:fitness:martialarts","Combat Sports"
"378","active:bikerentals","Cycling"
"379","active:fitness:dancestudio","Dance"
"380","active:horsebackriding","Equestrian"
"381","restaurants","Football"
"382","auto:towing","Golf"
"383","active:gun_ranges","Gun Ranges"
"384","active:fitness","Gymnastics"
"385","active:fitness:gyms","Gyms and Fitness Centers"
"386","active:fitness:gyms","Hockey"
"387","active","Outdoors"
"388","hotelstravel:campgrounds","Campgrounds and RV Parks"
"39","beautysvc","Housing Assistance and Shelters"
"391","active:fishing","Hunting and Fishing"
"392","active:rock_climbing","Rock Climbing"
"395","active:fitness","Personal Trainers"
"396","active","Race Tracks"
"399","active:fitness:gyms","Tennis"
"4","auto","Car Dealers and Leasing"
"400","active:recreation","Recreation Centers"
"402","active:skatingrinks","Skating"
"403","active","Snow Sports"
"404","active:football","Soccer"
"405","active:fitness:gyms","Sports Clubs"
"406","active:fitness:gyms","Stadiums and Arenas"
"407","active:swimmingpools","Swimming Pools"
"408","active:amusementparks","Water Sports"
"409","active:boating","Boating"
"410","active:sports_clubs","Canoes and Kayaks"
"411","active:rafting","Rafting"
"412","active","Scuba Diving"
"413","active:fitness:swimminglessons","Swimming"
"414","active:fitness:yoga","Yoga and Pilates"
"415","health:homehealthcare","Transportation"
"416","hotelstravel","Airlines and Aviation Services"
"417","auto","Gas Stations"
"418","homeservices:realestate:apartments","Parking"
"419","realestate","Public Transportation Services"
"420","hotelstravel:transport:taxis","Taxi and Car Services"
"421","hotelstravel:carrental","Car and Truck Rentals"
"422","hotelstravel","Charter Buses"
"423","hotelstravel:transport:limos","Limos and Chauffeurs"
"425","hotelstravel:airports","Airports"
"426","homeservices:realestate:apartments","Bus Stations"
"43","publicservicesgovt","Police Stations"
"430","hotelstravel:travelservices","Travel"
"431","hotelstravel:travelservices","Cruises"
"432","hotelstravel:tours","Lodging"
"433","hotelstravel","Bed and Breakfasts"
"435","homeservices:realestate:apartments","Hostels"
"436","hotelstravel","Hotels and Motels"
"438","beautysvc","Resorts"
"439","active","Tourist Information and Services"
"44","publicservicesgovt:libraries","Libraries"
"440","hotelstravel","Travel Agents and Tour Operators"
"441","professional","Geriatrics"
"442","shopping","Discount Stores"
"443","food:butcher","Meat and Seafood"
"444","shopping","Office Supplies"
"445","eventservices:partyequipmentrentals","Party Supplies"
"447","homeservices:contractors","Construction"
"448","professional:legalservices","Notary"
"449","eventservices:photographers","Photography"
"45","auto:autopartssupplies","Military"
"450","financialservices:insurance","Translation Services"
"451","active:golf","Golf Courses"
"452","active:surfing","Surfing"
"455","shopping","Mobile"
"457","restaurants","Asian"
"460","professional:marketing","Technology"
"461","active:rafting","Dog Parks"
"463","professional","Arcades"
"464","restaurants","International"
"466","health:optometrists","Optometrist"
"47","publicservicesgovt","Organizations and Associations"
"48","publicservicesgovt","Charities and Non-Profits"
"49","publicservicesgovt","Environmental"
"5","auto","Used Cars"
"50","publicservicesgovt","Youth Organizations"
"51","publicservicesgovt:postoffices","Post Offices"
"52","active","Public and Social Services"
"53","religiousorgs:churches","Religious"
"55","religiousorgs:churches","Churches"
"59","health","Senior Citizen Services"
"6","auto","Car Parts and Accessories"
"60","health:retirement_homes","Retirement"
"61","homeservices:utilities","Utility Companies"
"62","health","Healthcare"
"64","health","Assisted Living Services"
"65","health:homehealthcare","Home Health Care Services"
"66","health","Facilities and Nursing Homes"
"68","health:chiropractors","Chiropractors"
"69","health:dentists","Dentists"
"7","auto","Car Wash and Detail"
"70","health","Emergency Services"
"71","professional","Ambulance"
"72","health","Holistic, Alternative and Naturopathic Medicine"
"73","health","Acupuncture"
"74","health","Hospitals, Clinics and Medical Centers"
"75","health","Medical Supplies and Labs"
"76","health","Mental Health"
"77","health","Counseling and Therapy"
"78","health","Psychologists"
"79","health","Nurses"
"8","auto","Classic and Antique Car"
"80","shopping:drugstores","Pharmacies"
"81","health","Physical Therapy and Rehabilitation"
"82","health","Sports Medicine"
"83","health","Physicians"
"84","health","Anesthesiologists"
"85","health:physicians","Cardiologists"
"86","health","Dermatologists"
"87","health","Ear, Nose and Throat"
"88","health","Family Medicine"
"89","health","Gastroenterologists"
"9","auto","Maintenance and Repair"
"90","health:physicians","General Surgery"
"91","health:physicians","Internal Medicine"
"92","health:physicians","Neurologists"
"93","health","Obstetricians and Gynecologists"
"94","health:physicians","Oncologists"
"95","health","Ophthalmologists"
"96","health","Orthopedic Surgeons"
"97","health","Pathologists"
"98","health","Pediatricians"
"99","health:physicians:cosmeticsurgeons","Plastic Surgeons"
