"homeservices:poolcleaners","263","Swimming Pool Maintenance and Services"
"homeservices:realestate","296","Apartments, Condos, and Houses"
"homeservices:realestate:apartments","296","Apartments, Condos, and Houses"
"homeservices:realestate:commercialrealestate","299","Commercial Real Estate"
"homeservices:realestate:mortgagebrokers","227","Loans and Mortgages"
"homeservices:realestate:prefabricated","255","Mobile Homes"
"homeservices:realestate:propertymgmt","293","Real Estate Agents"
"homeservices:realestate:realestateagents","293","Real Estate Agents"
"homeservices:realestate:realestatesvcs","293","Real Estate Agents"
"homeservices:roofing","239","Contractors"
"homeservices:securitysystems","188","Security and Safety"
"homeservices:solarinstallation","247","Heating, Ventilating and Air Conditioning"
"homeservices:televisionserviceproviders","189","Telecommunication Services"
"homeservices:treeservices","264","Tree Service"
"homeservices:utilities","61","Utility Companies"
"homeservices:windowsinstallation","243","Doors and Windows"
"homeservices:windowwashing","243","Doors and Windows"
"hotelstravel","436","Hotels and Motels"
"hotelstravel:airports","425","Airports"
"hotelstravel:bedbreakfast","436","Hotels and Motels"
"hotelstravel:campgrounds","388","Campgrounds and RV Parks"
"hotelstravel:carrental","421","Car and Truck Rentals"
"hotelstravel:guesthouses","191","Water and Waste Management"
"hotelstravel:hostels","436","Hotels and Motels"
"hotelstravel:hotels","436","Hotels and Motels"
"hotelstravel:motorcycle_rental","14","Motorcycles, Mopeds and Scooters"
"hotelstravel:resorts","436","Hotels and Motels"
"hotelstravel:rvparks","291","Real Estate"
"hotelstravel:skiresorts","436","Hotels and Motels"
"hotelstravel:tours","440","Travel Agents and Tour Operators"
"hotelstravel:transport","423","Limos and Chauffeurs"
"hotelstravel:transport:airport_shuttles","416","Airlines and Aviation Services"
"hotelstravel:transport:limos","423","Limos and Chauffeurs"
"hotelstravel:transport:publictransport","416","Airlines and Aviation Services"
"hotelstravel:transport:taxis","420","Taxi and Car Services"
"hotelstravel:travelservices","440","Travel Agents and Tour Operators"
"hotelstravel:vacation_rentals","436","Hotels and Motels"
"hotelstravel:vacationrentalagents","436","Hotels and Motels"
"massmedia","215","Media"
"massmedia:printmedia","215","Media"
"massmedia:radiostations","215","Media"
"massmedia:televisionstations","215","Media"
"nightlife","348","American"
"nightlife:adultentertainment","348","American"
"nightlife:bars","348","American"
"nightlife:bars:champagne_bars","312","Bars"
"nightlife:bars:cocktailbars","312","Bars"
"nightlife:bars:hookah_bars","329","Hookah Lounges"
"nightlife:bars:lounges","349","Barbecue"
"nightlife:bars:pubs","312","Bars"
"nightlife:bars:sportsbars","348","American"
"nightlife:bars:wine_bars","312","Bars"
"nightlife:comedyclubs","312","Bars"
"nightlife:danceclubs","379","Dance"
"nightlife:musicvenues","312","Bars"
"nightlife:poolhalls","347","Restaurants"
"pets","305","Veterinarians"
"pets:animalshelters","167","Pets"
"pets:horse_boarding","380","Equestrian"
"pets:petservices","167","Pets"
"pets:petservices:dogwalkers","167","Pets"
"pets:petservices:groomer","167","Pets"
"pets:petservices:pet_sitting","167","Pets"
"pets:petservices:pet_training","167","Pets"
"pets:petstore","167","Pets"
"pets:vet","305","Veterinarians"
"professional","269","Legal"
"professional:accountants","220","Accounting and Bookkeeping"
"professional:advertising","194","Advertising Agencies and Media Buyers"
"professional:architects","236","Architects"
"professional:careercounseling","212","Employment Agencies"
"professional:editorialservices","290","Publishing"
"professional:employmentagencies","212","Employment Agencies"
"professional:graphicdesign","288","Printing, Copying and Signage"
"professional:isps","189","Telecommunication Services"
"professional:lawyers","269","Legal"
"professional:lawyers:bankruptcy","269","Legal"
"professional:lawyers:businesslawyers","269","Legal"
"professional:lawyers:criminaldefense","269","Legal"
"professional:lawyers:divorce","269","Legal"
"professional:lawyers:duilawyers","269","Legal"
"professional:lawyers:employmentlawyers","269","Legal"
"professional:lawyers:estateplanning","269","Legal"
"professional:lawyers:general_litigation","269","Legal"
"professional:lawyers:immigrationlawyers","269","Legal"
"professional:lawyers:personal_injury","269","Legal"
"professional:lawyers:realestatelawyers","269","Legal"
"professional:legalservices","269","Legal"
"professional:lifecoach","77","Counseling and Therapy"
"professional:marketing","194","Advertising Agencies and Media Buyers"
"professional:officecleaning","289","Professional Cleaning"
"professional:payroll","220","Accounting and Bookkeeping"
"professional:personalassistants","177","Businesses and Services"
"professional:privateinvestigation","225","Financial Planning and Investments"
"professional:publicrelations","201","Public Relations"
"professional:talentagencies","200","Promotional Items"
"professional:taxidermy","420","Taxi and Car Services"
"professional:translationservices","303","Shipping, Freight, and Material Transportation"
"professional:videofilmproductions","215","Media"
"professional:web_design","306","Web Design and Development"
"publicservicesgovt","47","Organizations and Associations"
"publicservicesgovt:courthouses","48","Charities and Non-Profits"
"publicservicesgovt:departmentsofmotorvehicles","37","Government Departments and Agencies"
"publicservicesgovt:firedepartments","184","Plastics"
"publicservicesgovt:landmarks","311","Museums"
"publicservicesgovt:libraries","44","Libraries"
"publicservicesgovt:postoffices","51","Post Offices"
"realestate","296","Apartments, Condos, and Houses"
"realestate:apartments","296","Apartments, Condos, and Houses"
"realestate:commercialrealestate","299","Commercial Real Estate"
"realestate:homestaging","251","Interior Design"
"realestate:mortgagebrokers","227","Loans and Mortgages"
"realestate:propertymgmt","292","Property Management"
"realestate:realestateagents","293","Real Estate Agents"
"realestate:realestatesvcs","293","Real Estate Agents"
"realestate:sharedofficespaces","292","Property Management"
"religiousorgs","55","Churches"
"religiousorgs:churches","55","Churches"
"religiousorgs:synagogues","66","Facilities and Nursing Homes"
"restaurants","355","Fast Food"
"restaurants:asianfusion","457","Asian"
"restaurants:bbq","349","Barbecue"
"restaurants:brazilian","347","Restaurants"
"restaurants:breakfast_brunch","348","American"
"restaurants:buffets","349","Barbecue"
"restaurants:burgers","351","Burgers"
"restaurants:burmese","457","Asian"
"restaurants:cafes","355","Fast Food"
"restaurants:cafeteria","348","American"
"restaurants:cajun","347","Restaurants"
"restaurants:caribbean","347","Restaurants"
"restaurants:chicken_wings","349","Barbecue"
"restaurants:chinese","352","Chinese"
"restaurants:comfortfood","357","Indian"
"restaurants:cuban","464","International"
"restaurants:delis","353","Delis"
"restaurants:diners","354","Diners"
"restaurants:french","356","French"
"restaurants:gastropubs","347","Restaurants"
"restaurants:greek","464","International"
"restaurants:hawaiian","464","International"
"restaurants:hotdogs","355","Fast Food"
"restaurants:indpak","357","Indian"
"restaurants:italian","358","Italian"
"restaurants:japanese","359","Japanese"
"restaurants:latin","347","Restaurants"
"restaurants:latin:salvadoran","348","American"
"restaurants:mediterranean","464","International"
"restaurants:mexican","361","Mexican"
"restaurants:mideastern","347","Restaurants"
"restaurants:modern_european","347","Restaurants"
"restaurants:newamerican","348","American"
"restaurants:persian","347","Restaurants"
"restaurants:peruvian","361","Mexican"
"restaurants:pizza","363","Pizza"
"restaurants:raw_food","171","Supermarkets and Groceries"
"restaurants:sandwiches","355","Fast Food"
"restaurants:seafood","364","Seafood"
"restaurants:soup","347","Restaurants"
"restaurants:southern","347","Restaurants"
"restaurants:steak","365","Steakhouses"
"restaurants:sushi","359","Japanese"
"restaurants:tex_mex","361","Mexican"
"restaurants:thai","367","Thai"
"restaurants:tradamerican","348","American"
"restaurants:vegan","368","Vegan and Vegetarian"
"restaurants:vegetarian","347","Restaurants"
"restaurants:vietnamese","457","Asian"
