active:fitness:gyms,957d2374-e24c-448b-8ed3-3741cf2940bc,AG-MD8M3CLL,null,"""Fitness Evolution""",385
active,0db9eed1-fff3-45a3-8f08-f0f391ac760d,AG-PDMGT4MQ,"""http://www.florencerehabcenter.com/""","""Florence Nursing & Rehab Center, LLC""",66
active:sports_clubs,076cb18a-095c-4e8b-a222-ce6f0408e364,AG-CGKNX9GX,"""http://rootsacrosports.com/""","""Roots Sports and Learning Center""",384
active,3e01dbb2-1551-4a1a-a6f7-937e1ff7bcd4,AG-K54W7T63,"""http://www.pioneersportscolorado.com/""","""Pioneer Sports""",170
active,a0de5b1f-fcda-43ac-b68c-0e54108018d9,AG-CCVKLQCL,"""http://meganspetchateau-com.webs.com/""","""Megan's Pet Chateau LLC""",167
active:fitness,2bcd0cf9-759e-4d84-a35d-8da580c3a77a,AG-HJ32VCPT,"""http://www.pinpointmedicine.com/classes.html""","""T C M Acupuncture Clinic""",73
active:fitness:swimminglessons,5cc0a119-b95d-4361-a70b-49c146f319ad,AG-SDSM55ZH,"""http://britishswimschool.com/locations/round-lake-beach-la-fitness/""","""British Swim School - Round Lake Beach""",385
active:fitness:gyms,3a055fe3-8bf5-4c41-99ba-0bf5748f0f7c,AG-FJGVWPGW,"""http://www.snapfitness.com/gyms/johnsoncity-tn-37615/1150""","""Snap Fitness""",385
active:fitness:healthtrainers,73c8d77f-e9d5-4261-a9ea-f2c9a571a516,AG-PMVK2X8L,"""http://tulsa-harvard.titleboxingclub.com/""","""TITLE Boxing Club South Tulsa""",385
active,3bf5399e-04e8-4061-accd-048328bd5c53,AG-VVCCQCHB,"""http://greenbrierchiropractic.com/""","""Greenbrier Family Chiropractic: Crum Amy DC""",68
active:fitness:swimminglessons,820eea4f-c900-4000-a178-9a86e885da49,AG-KSHFQB5L,"""http://britishswimschool.com/locations/westford/""","""British Swim School - Greater Boston""",413
active:fitness:swimminglessons,fddc94f1-3ecc-4f6b-8347-3acd87e1d941,AG-KSHFQB5L,"""http://britishswimschool.com/locations/westford/""","""British Swim School - Greater Boston""",
active,1ab4f321-ce9c-41f5-9ff8-3f2b65184921,AG-JXLVBM5P,"""http://www.watchdog911.com/""","""WATCHDOG 911 LIFEALARM""",188
active:golf,dc99b601-8264-4563-9a1b-027c5d91b259,AG-MW2ZD6J9,"""http://www2.cybergolf.com/sites/courses/layout9.asp?id=359&page=37947""","""The Crossings Golf Course""",372
active:leisure_centers,8b690f4c-594c-442f-8d1f-aa1418c692d8,AG-TD4HBD6M,"""http://www.gowonderwild.com/""","""Wonderwild""",177
active:golf,8a2a9d80-00e0-4ba5-bf18-d1e08c32ebc4,AG-HDCV4CJC,"""http://vistosogolf.com/""","""The Golf Club at Vistoso""",451
active:fitness:gyms,55261d4d-462b-484c-be2d-1c71ca2c891b,AG-WKGK26XV,"""http://www.tucsonracquetclub.com/""","""Tucson Racquet & Fitness Club""",385
active,144aff29-2b05-4e5e-b782-ea955455b6cd,AG-TQD3WSJK,"""http://www.citybicycleworks.com/""","""City Bicycle Works""",129
active:golf,7e8e3b7c-6d80-4588-bee7-4d3210695a7a,AG-V7FCZ2FD,"""http://www.suddenvalleygolfcourse.com/""","""Sudden Valley Golf Course""",451
active:fishing,161d6fa3-e625-4748-a04f-051c39534a08,AG-TFB8FPW7,"""http://www.buttsmillfarm.com/""","""Butts Mill Farm""",204
